title,pubDate,words,voice,primary_cluster,secondary,disposition,Ev,Se,AI,OE,St,Pr,Str,IPS,tier,desc
Breaking Free from Traditions: Carter's Journey to a Clear Path,"Tue, 17 Sep 2024 10:00:04 GMT",113,hosts,cpm_leadership,disciple_making,B,9,9,5,4,2,6,7,6.45,T2,"Mark shares about a new podcast launch called Multiplier Mandate. In this episode, Carter shares his powerful journey from wrestling with life's idols to discovering a biblical, multiplying movement that flipped his understanding of discipleship upside down. Dive into the barriers many believers face—settling for good but secondary visions and lacking clear, practical pathways to make disciples li"
Finding Hope and Identity in the Midst of Cultural Shifts,"Tue, 20 Aug 2024 10:00:02 GMT",93,hosts,cpm_leadership,disciple_making|simple_church,B,9,9,4,5,3,5,7,6.45,T2,"In this episode, Dave and Mark dive into the book of Zechariah, exploring its relevance to the current challenges of church planting and disciple making in a rapidly changing culture. They discuss the parallels between the post-exilic Israelites and today's church, emphasizing the importance of faithfulness, hope, and not despising small beginnings. The conversation centers on how to stay grounded"
Acts And The Movement of God with Steve Addison,"Tue, 16 May 2023 10:00:02 GMT",129,interview/guest,cpm_leadership,,B,9,9,5,6,2,3,7,6.45,T2,"Steve Addison joins Dave and Mark to discuss his new book ""Acts and the Movement of God from Jerusalem to the Ends of the Earth."" Steve launches out from the idea of the gap between our experience and the movement of God described in Acts and how the book challenges every successive generation to participate in the movement of God. The interview heats up as Steve challenges the Western ideal of so"
Leaders Grow Through Time With in The Boat,"Tue, 16 Jun 2026 10:00:00 GMT",92,hosts,disciple_making,cpm_leadership,B,9,7,4,6,4,6,7,6.4,T2,"Most discipleship stalls because people only see the lesson, not the life behind it. In this episode, Mark, Dave, and Marcus unpack what happened when a group of young disciples joined a real ministry trip from New York City to Connecticut and the deepest formation happened in the car. You’ll learn why shared rhythms, relational margin, and doing ministry together reveal questions that scheduled m"
"The Apostolic Challenge: Mastering the Dynamics of Start, Strengthen, Sustain","Tue, 14 Jan 2025 11:00:08 GMT",92,interview/guest,cpm_leadership,disciple_training|prayer_field,B,9,7,5,7,3,4,7,6.4,T2,"In this thought-provoking episode with Guy Caskey, listeners are taken on a deep dive into the dynamics of apostolic leadership and church sustainability. Guy illuminates the challenges and necessary strategies for nurturing leadership that can carry on transformative work across generations. Discover the essential balance between multiplying efforts and sustaining growth, as Caskey explores how t"
What is a Strategy Coordinator? (And Why We Need More of Them),"Tue, 01 Feb 2022 11:00:04 GMT",88,interview/guest,cpm_leadership,disciple_training|prayer_field,B,9,7,5,7,3,4,7,6.4,T2,"Join Dave Miller, Kyle Pierson, Mark Goering, and Carter Cox for a discussion into what a strategy coordinator is, how we train them, and why we need thousands of them in the mission field today. Show Notes: A short series of podcast episodes on the Movements podcast with Steve Addison is mentioned in this episode. Below are links to Steve's four interviews with ""Barney"" that unpack the role of th"
Disciple Making Collapses When Scripture Stops Being Foundational,"Tue, 12 May 2026 10:00:00 GMT",91,hosts,disciple_making,prayer_field,B,9,8,7,4,2,5,6,6.35,T2,"Most believers say Scripture is central, but in real life, experience often ends up calling the shots. In this episode, Dave and Mark unpack why disciple-making pathways are not invented from scratch, but discovered from the Word of God and lived out in real places like work, school pickup, business, and everyday relationships. They use the Wesleyan Quadrilateral, Scripture, tradition, reason, and"
Nehemiah's CFC Framework: The Key to Building a Wall in 52 Days,"Tue, 23 Dec 2025 11:15:07 GMT",97,hosts,cpm_leadership,disciple_training|prayer_field,B,7,8,8,5,3,4,7,6.35,T2,"In this episode we unpack Nehemiah’s CFC—Commitment, Focus, and Consistency—and why it remains one of Scripture’s most practical leadership models. Through the story of rebuilding Jerusalem’s wall in just 52 days, they reveal how clarity is forged through prayer, responsibility attracts resources, and disciplined focus outpaces raw passion. This conversation challenges leaders who feel overwhelmed"
Is Your Strategy Blinding You to God’s Harvest,"Tue, 18 Mar 2025 10:00:07 GMT",171,solo,cpm_leadership,gospel|prayer_field,B,9,8,5,6,2,4,7,6.35,T2,"Ever wonder why your carefully crafted ministry strategy might be missing the mark? In this solo episode of the H3X podcast, Mark unpacks a fresh insight from a problem-solving retreat, diving into Jesus’ encounter at the well in John 4 to reveal the tension between strategy and prophetic flexibility. Discover how blending a reproducible apostolic process with an openness to God’s unexpected inter"
Why Cities Matter with Haylee Belcher,"Tue, 08 Nov 2022 12:00:02 GMT",57,interview/guest,disciple_training,cpm_leadership|gospel,B,8,9,4,7,3,3,7,6.35,T2,The Urban complexity needs all hands on deck to see movements of the Gospel and churches. Dave discusses a semester of training and learning why cities matter with Haylee Belcher. Haylee leads with a team focused on planting churches and training leaders on a University Campus in Oklahoma City. Hear her insights on this episode of H3X.
The Inefficient Strategy Behind Lasting Movements,"Tue, 19 Aug 2025 10:00:08 GMT",117,hosts,cpm_leadership,gospel|disciple_making,B,9,8,6,4,2,5,7,6.3,T2,"What if multiplication in the Kingdom doesn’t look like efficiency but instead like deep, costly investment? In this episode of the H3X Podcast, Mark and Dave unpack the concept of precision harvesting: how Jesus filtered and invested in the few to see lasting multiplication. They explore why disciple making is inherently “inefficient” and why that’s actually the key to compounding growth over tim"
Simple Affective Habits and Multiplying Movement,"Tue, 05 Dec 2023 11:00:03 GMT",69,interview/guest,cpm_leadership,gospel,B,9,8,4,6,2,5,7,6.3,T2,"Movement is simply more people learning to do simple affective habits. In the world of the head, heart, and hands of the multiplying church and her leaders, we will never move beyond the affective habit of seed sowing the gospel. Start a habit. Track if that habit is affecting the change you expected. Adjust. Invite others to join you in that habit. Add time and you will affect movement."
The 80/20 Rule for Kingdom Goal Setting: Why Focus Beats Hustle in 2025,"Tue, 24 Dec 2024 11:00:07 GMT",127,hosts,cpm_leadership,disciple_training,B,7,10,5,4,2,6,7,6.25,T3,"As 2025 approaches, this episode dives into how leaders can overcome distractions and leverage the principle of ""sowing and reaping"" to serve Jesus in Kingdom impact. Mark and Dave explore the tension between responsibilities (what we control) and opportunities (what we respond to) while addressing common pitfalls like FOMO and the lack of focus. They unpack practical tools like the 80/20 rule and"
Jesus: a Master Class in Leadership Development Through the Gospels,"Tue, 13 Aug 2024 11:00:04 GMT",76,hosts,cpm_leadership,disciple_training|gospel,B,9,9,5,4,2,4,7,6.25,T3,"In this episode, Mark explores a study through the gospels into how Jesus catalyzed a movement through His intentional leadership development using the M.A.W.L. framework—Model, Assist, Watch, and Leave. We delve into key moments from His ministry, where He identified and equipped leaders, guiding them through opposition and preparing them to carry on the mission independently. Discover practical "
God Has No Grandchildren,"Tue, 14 Nov 2023 11:00:03 GMT",81,hosts,cpm_leadership,gospel,B,9,8,7,4,2,3,7,6.25,T3,"In this H3X episode, hosts Mark and Dave stress the importance of connecting each generation of leaders back to the Bible as the primary source of authority. They discuss the challenges of contextualizing the Gospel and the crucial role of Indigenous leadership in filling gaps in understanding diverse cultures. The conversation delves into the Wesleyan quadrilateral, emphasizing Scripture, traditi"
How to Live in The Tension Between Depth and Breadth,"Tue, 25 Jul 2023 10:00:02 GMT",69,hosts,cpm_leadership,meet_jesus,B,9,9,5,4,2,4,7,6.25,T3,"Jesus stewarded the breadth of a large Target in engaging Galilee while simultaneously the depth of cultivating movement leaders in the 12 disciples. How can we do the same? In this episode, we look at the tension between breadth and depth and what it means to practically steward both simultaneously. *** Show Notes and Resources *** 👉5 T's Strategy Coordinator Series:  👉Unreached Peoples Conferenc"
From Choked Out to Fruitful The Pathway to Becoming Fourth Soil,"Tue, 09 Sep 2025 10:00:08 GMT",87,hosts,cpm_leadership,disciple_making,B,9,9,4,4,2,5,7,6.2,T3,"Feeling worn down in the grind of discipleship, church, work, or family life? In this episode, Dave and Mark get brutally honest about what it takes to keep going when fatigue, setbacks, and discouragement hit hard. They unpack Jesus’ parable of the soils in Mark 4 and show how resiliency is forged through the very trials that threaten to choke out our faith. If you’ve ever wondered how to stay fa"
How Model + Assist Turns Barriers into Breakthroughs,"Tue, 02 Sep 2025 10:00:08 GMT",119,hosts,disciple_training,cpm_leadership|disciple_making,B,9,7,5,5,3,5,7,6.2,T3,"Most disciple-making efforts stall out not because of lack of passion, but because leaders hit invisible barriers: confidence, competence, or both. In this episode of the H3X Podcast, Mark and Dave unpack why the model + assist phases of the training cycle are the key to overcoming those barriers and turning stuck moments into breakthrough growth. Rather than another polished workshop or theory-he"
Some Leaders Grow...Others Stall: The Invitation Challenge Dynamic,"Tue, 26 Aug 2025 10:00:09 GMT",107,hosts,cpm_leadership,meet_jesus|disciple_making,B,9,9,4,4,2,5,7,6.2,T3,"Discipleship isn’t just about passing on skills—it’s about discerning the art of when to lean in and when to step back. In this episode of the H3X Podcast, Dave and Mark unpack how Jesus modeled both high invitation and high challenge in his relationships, and how that shapes the way we develop leaders today. You’ll hear stories of what it looks like to disciple leaders over multiple years, and wh"
The Missing Piece Between Good Tools and Real Multiplication,"Tue, 21 Apr 2026 10:30:00 GMT",76,hosts,disciple_training,disciple_making|cpm_leadership,B,9,6,4,5,3,8,7,6.15,T3,"Good tools matter. But tools alone rarely lead to real multiplication. In this episode, Mark and Dave unpack what often gets missed between solid training and lasting fruit: seeing disciple-making lived up close, inside real habits, real relationships, and real ministry rhythms. They debrief the recent New York Covo Immersion and show why people don’t just need better content. They need withness, "
Tribes: A Too Often Missing Layer in Movements,"Tue, 03 Mar 2026 11:00:03 GMT",107,hosts,prayer_field,disciple_making|gospel,B,9,9,5,4,2,3,7,6.15,T3,"Most movements stall because they skip the tribe. We talk about personal faith and global mission. Private devotion and citywide impact. But the layer in between, the tribe, is where movements actually take root. Tribes are networks of households living the same way, reinforcing shared identity, and making obedience normal instead of exceptional. In this episode, we unpack the sociology and biblic"
Stop Managing Legacy: Why First Principles Matter More Than Momentum,"Tue, 16 Sep 2025 10:00:08 GMT",122,hosts,cpm_leadership,meet_jesus|disciple_training,B,9,9,5,4,2,3,7,6.15,T3,"Many leaders inherit thriving churches, movements, or teams—but quietly carry the crushing weight of “keeping it all going.” In this episode, Dave and Mark unpack how spiritual fatherhood frees emerging leaders from simply managing legacy and empowers them to rediscover the first principles that birthed the work in the first place. They explore how Jesus modeled this through essence and execution,"
The Multiplier Mandate Revealed From Genesis to Revelation,"Tue, 27 Aug 2024 10:00:02 GMT",97,hosts,cpm_leadership,disciple_training,B,9,8,5,4,2,5,7,6.15,T3,"In this episode of the H3X podcast, we dive deep into the essential ""minimums"" required for effective leadership in a multiplying church. Join us as we explore the critical DNA tools that ignite and sustain multiplication, drawing insights from both scripture and best practice modules. Whether you're a seasoned leader or just starting out, this episode will challenge and equip you to lead with cla"
"Invading Passions, Peoples, Places, and Professions with Guy Caskey","Tue, 24 Jan 2023 11:00:02 GMT",80,interview/guest,cpm_leadership,gospel|prayer_field,B,9,7,4,7,3,3,7,6.15,T3,"For more than 20 years, Guy Caskey has been instrumental in catalyzing movement in Houston and around the World. In this episode, he unpacks the systems that have been effective at multiplying disciples and networks across the Houston area that have invaded passions, peoples, places, and professions to ignite new movements of the gospel. Show Notes and Resources 👉City2City Immersion Weekend with G"
How the Early Church Made Clear Decisions in Chaotic Times,"Tue, 13 Jan 2026 11:00:09 GMT",112,hosts,cpm_leadership,,B,9,8,6,4,2,3,7,6.1,T3,"When culture feels chaotic and leadership decisions feel heavy, the church doesn’t need new strategies—it needs to recover an ancient precedent. In this episode, Mark and Dave call leaders back to the New Testament pattern of the Word of God, the Spirit of God, and the community of God working together to discern the way forward. Using Acts 15 as a case study, they show how the early church resist"
How City-to-City Collaboration Sparks Kingdom Growth,"Tue, 15 Oct 2024 10:00:02 GMT",75,hosts,cpm_leadership,disciple_making|simple_church,B,9,7,4,6,4,3,7,6.1,T3,"In this episode Mark and Dave discuss moving beyond transactional mission trips to deeper city-to-city and church-to-church collaboration. Mark shares his experience in New York City, emphasizing the importance of the right partnerships to grow the Kingdom from the ground up. They explore how collaboration between cities like Oklahoma City and New York can accelerate disciple-making, leadership de"
How to See Abundant Fruit,"Tue, 02 Aug 2022 10:00:02 GMT",80,hosts,cpm_leadership,disciple_training,B,9,9,4,4,2,4,7,6.1,T3,"In this episode, Mark shares about the heart of the movement leader. Jesus says in John 15 that it's to His Father's glory ""that you bear much fruit, showing yourselves to be my disciples."" How did Jesus and later Paul model the path to this kind of fruitfulness? The answer may surprise us because it directly confronts everything that pop motivation and expert youtube channels would say are the ke"
Gen Z. They’ll Talk About Jesus. Then They Ghost You.,"Tue, 10 Feb 2026 11:00:03 GMT",79,hosts,disciple_making,cpm_leadership,B,9,8,4,5,3,4,6,6.05,T3,"Gen Z will talk about Jesus all day and still disappear tomorrow. In this episode, we name the tension leaders keep running into: real spiritual openness paired with zero follow-through. We unpack what we’re seeing on the ground in New York and Oklahoma City, why ghosting isn’t just annoying but formative, and how digital-first relationships are warping discipleship. If you’re trying to move peopl"
The Son Who Learned to Multiply: Duncan's Story of Spiritual Fatherhood,"Tue, 21 Oct 2025 10:00:08 GMT",93,hosts,cpm_leadership,,B,9,7,4,5,3,5,7,6.05,T3,"Duncan's journey isn’t just about following Jesus: it’s about being fathered, mentored, and learning how to pour life into others. In this episode, he shares the raw, real challenges of stepping into spiritual family, learning to disciple, and multiplying what he’s been given. Hear how love, patience, and mentorship transformed a young follower into someone raising up the next generation of discip"
Plateauing is NOT an Option: How to Move Forward,"Tue, 12 Nov 2024 11:00:08 GMT",65,hosts,disciple_making,,B,9,8,5,4,2,4,7,6.05,T3,"What if the Kingdom of God doesn’t allow for plateaus? In this episode, we explore what it means to follow Jesus without settling — even when the path is unclear and others question your choices. From Jesus’ radical mission to John the Baptist’s moments of doubt, we discuss how to embrace faith, risk, and obedience, and why the Kingdom calls us to keep moving forward."
How to Identify Elders in the Messy Middle,"Tue, 24 Oct 2023 10:00:02 GMT",143,hosts,cpm_leadership,disciple_training|simple_church,B,9,7,5,4,2,6,7,6.05,T3,"Mark and Dave discusses the role and process of identifying elders in the growth and health of a church. They argues that the appointment of elders is a necessary step for a church's survival, while emphasizing the strategic function of ambiguity in Acts 13-14. Mark and Dave share their personal experience and highlight the importance of recognizing individuals' natural ability to lead and provide"
From Addition to Multiplication: The Emmaus Road,"Tue, 19 Apr 2022 10:00:03 GMT",74,hosts,cpm_leadership,gospel|simple_church,B,9,8,4,5,3,3,7,6.05,T3,We long for a movement of disciples multiplying in the earth until there is Noplaceleft. But if we were to witness a church planting movement that supposedly accomplished the Great Commission and the earth were not filled with men and women desperate for the glory of God and Jesus Christ above all else...we have failed. Check out this next episode from Dave Miller in the Sentergy Series audio blog
You Can’t Recruit the Leaders You Need,"Tue, 28 Jul 2026 10:00:00 GMT",93,hosts,disciple_training,cpm_leadership|meet_jesus,B,9,8,4,4,2,6,6,6.0,T3,"How Do People Discover They’re Leaders? Most leaders try to recruit people into a vision, but Jesus modeled something harder: do the work, open your life, and let the right people recognize themselves in it. Mark and Dave unpack why emerging leaders need more than an invitation. They need a visible model, shared values, and space to discover that they genuinely want to lead. If you’re tired of con"
Why “Just Make Disciples” Isn’t Enough,"Tue, 07 Jul 2026 10:00:00 GMT",93,hosts,simple_church,cpm_leadership|disciple_making,D,9,8,4,4,2,5,7,6.0,T3,"This episode pushes into the tension many practitioners feel: should you aim at making disciples, starting churches, or both? Mark and Dave argue that what you aim for is usually what you reproduce, so vague language creates vague outcomes. They unpack why disciple-making without a church pathway often stalls before leadership, and why church planting without disciple-making DNA creates gatherings"
How a Dinner Table Became a Community of Practice,"Tue, 20 Jan 2026 11:00:09 GMT",67,hosts,gospel,disciple_training|cpm_leadership,B,9,9,4,4,2,4,6,6.0,T3,"Most leaders don’t need more content, they need a place to actually practice the way of Jesus with other people. In this episode, Dave breaks down how a weekly dinner-table “community of practice” is forming disciples through a year-long, chronological walk through the Gospels. You’ll hear the simple structure, why it’s working, and how shared practice (not polished teaching) is producing real own"
Burnin' Grace in Worn Out Boots: Thoughts on 2 Timothy 2:1-7,"Tue, 30 Sep 2025 22:16:16 GMT",153,hosts,cpm_leadership,disciple_making,B,9,7,5,5,3,3,7,6.0,T3,"What if grace is more than pardon—and actually the power that fuels multiplication? In this episode, Justus, a young professional leader in Oklahoma City, unpacks 2 Timothy 2:1–7 and shows how grace strengthens believers like fuel in an engine. Through vivid stories, soldier-athlete-farmer analogies, and real-life failures (like running out of gas on I-40), he reveals how God multiplies small acts"
The Secret Ingredient of Trustworthy Leaders: What Paul Knew About Diligence,"Tue, 26 Nov 2024 11:00:07 GMT",82,hosts,cpm_leadership,prayer_field|meet_jesus,B,9,7,6,4,2,4,7,6.0,T3,"What sets a true leader apart? In this episode, we dive deep into the Apostle Paul's emphasis on diligence as a defining characteristic of trustworthy leadership, exploring examples from 2 Corinthians and Romans. Discover why small acts of faithfulness are the proving grounds for greater responsibility and how a ""yes"" that stays yes reveals the heart of a tested leader. Join us as we unpack practi"
